Nome,Clube,Sigla,Nome,Posicao,Ult,Media,Jogos,Lixo1,Lixo2,Lixo3,Preco,Valorizacao,
Maicon Silva,Vitória,VIT,Maicon Silva,Lateral,0.00,0.00,-,Vitória,x,Corinthians, 2.00,0.00,
Ronaldo,Vitória,VIT,Ronaldo,Goleiro,0.00,0.00,-,Vitória,x,Corinthians, 1.00,0.00,
Crysan,Atlético-PR,ATL,Crysan,Atacante,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 3.00,0.00,
Josué,Vitória,VIT,Josué,Zagueiro,0.00,0.00,-,Vitória,x,Corinthians, 2.00,0.00,
Gabriel,Vitória,VIT,Gabriel,Meia,0.00,0.00,-,Vitória,x,Corinthians, 3.00,0.00,
Vilches,Atlético-PR,ATL,Vilches,Zagueiro,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 4.00,0.00,
Nickson,Vitória,VIT,Nickson,Atacante,0.00,0.00,-,Vitória,x,Corinthians, 2.00,0.00,
William Henrique,Vitória,VIT,William Henrique,Atacante,0.60,0.60,1,Vitória,x,Corinthians, 2.65,0.35,
Pablo,Atlético-PR,ATL,Pablo,Atacante,-0.80,-0.80,1,Atlético-PR,x,Atlético-MG, 3.09,1.91,
Gustavo,Vitória,VIT,Gustavo,Goleiro,0.00,0.00,-,Vitória,x,Corinthians, 1.00,0.00,
Vagner Mancini,Vitória,VIT,Vagner Mancini,Técnico,0.27,0.27,1,Vitória,x,Corinthians, 1.67,0.33,
Rafaelson,Vitória,VIT,Rafaelson,Atacante,0.00,0.00,-,Vitória,x,Corinthians, 1.00,0.00,
David,Vitória,VIT,David,Meia,1.30,1.30,1,Vitória,x,Corinthians, 1.69,0.69,
Wallace,Vitória,VIT,Wallace,Goleiro,0.00,0.00,-,Vitória,x,Corinthians, 2.00,0.00,
Anderson Lopes,Atlético-PR,ATL,Anderson Lopes,Atacante,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 4.00,0.00,
Eduardo,Atlético-PR,ATL,Eduardo,Lateral,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 4.00,0.00,
Santos,Atlético-PR,ATL,Santos,Goleiro,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 3.00,0.00,
Pará,Atlético-PR,ATL,Pará,Lateral,0.00,0.00,-,Atlético-PR,x,Atlético-MG, 4.00,0.00,
Jadson,Atlético-PR,ATL,Jadson,Meia,0.00,0.00,1,Atlético-PR,x,Atlético-MG, 2.94,1.06,
